source,title,price_brl,url,sold_quantity,rating,reviews,brand,model,query,page,position,is_ad,mlb_id
Mercado Livre Browser,SSD m.2 2TB NVMe PCIe Gen 4.0 WD Black SN7100 Western Digital WDS200T4X0E-00CJA0 Velocidade de Leitura Até 7250MB/s e Gravação Até 6900MB/s Internal Gaming 2280 Cor Preto,3020.0,https://www.mercadolivre.com.br/ssd-m2-2tb-nvme-pcie-gen-40-wd-black-sn7100-western-digital-wds200t4x0e-00cja0-velocidade-de-leitura-ate-7250mbs-e-gravaco-ate-6900mbs-internal-gaming-2280-cor-preto/p/MLB48039819#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4171674697&sid=search,100,,0,,,ssd nvme,1,11,False,MLB4171674697
Mercado Livre Browser,Ssd Adata M.2 1tb Xpg Mars 980 Pro Nvme - Smar-980p-1tci Branco,2059.0,https://www.mercadolivre.com.br/ssd-adata-m2-1tb-xpg-mars-980-pro-nvme-smar-980p-1tci-branco/p/MLB54109688#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=product&float_highlight=last_unit&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4189442517&sid=search,0,,0,,,ssd nvme,1,12,False,MLB4189442517
Mercado Livre Browser,"Ssd Samsung Enterprise 3.84tb, 2.5, Sas, 12gbps, Read Intensive",5499.0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=88gJbY17LfzwHMIs0y%2F00fqzyTTgJLZ9rWxRtETcE6FgpOdeVYBY1tQI0miAyI5%2FMraOAuKuCBHMZTnL70z4PaGiRf8oIqW4azJ8xvLlnXZnvkuBTJWierlRvcDboqbTufrztS2pcKvEjprSmeQ%2BlhNMAggzDL622z0boiX%2FM1Oun4YrXpc4XjDY732KxHUonT0MaFUWEBL5ICVFXMfYMmm4kK2ZKOiSipMWoXDtr3EDsgd7Wyt90eBbFmCmlwqSqYLggZQ%2FI9pmRYpaXlJJMC8pRtHtdJOD8bmBsF%2FMNVAu9fW1123SJlUehK9uRT2OgbrjQbn%2BmS8%2BNMK4CnZ60DaOMEnYu0S1gLchMM8bQRWnp1BM5LFGcQM5S7Y574LQj%2BZ6d%2Bb4pJXZB8kp7nbt%2BchrF4U3stV8HhLejobf7W8vIDNkh%2FskKhMJBTeSaKvLeT%2BYL8q2FJ34Wrh7JRACKy8NfNvkDKpWBIaK2xt%2BuDARTIta8hz0FTNdTCOUOIFYn3BMbzphVNn6dUD8tnCmBA9iymzAMYY1M2bSL93DTs%2Bt27Ci79Vzn42EH7ABqGbMiYmKV4xkbDqQcdnyCZzz6MAuJt8csiUhCADxCTldtcnWpiTHZ%2B8Rnw1sCJ1c7npbA1NzpV%2Fyz2m4dvFvAzjlN6eV8UB3CiTFgnf%2FBstDTOXriX9l7KvdXAwb%2BzQIxzacaIXpsG3HEFN4n9WtBA9iS3x8mI04qWm0XevVZseX1Tcj%2B1CVaBhYl4lyL2lSshjrFihcTJb%2FF1uzvEnyC6ylAEJ7JMm%2FCCDcb%2FKGdNItKVdhJOhr1LQ2%2FJXHa%2BI0visxdxDAOWh1MoLwJ6%2FKV2gqCtHXGsAkqLe4ZBsx5QK6Y%2FEaAVjpnw2Sr%2FpkMW76HsEAmCpvXgavPD7XOGPExLJoNPtDM9ondk%2BZlhMZVsVJXAi7h11RHizfqpWTv%2BECR4zzOHWMbXOkHy8ofICglCZ0XA4x2KoKit3qylQxZ3%2FsrxdQjmEEqX9ZpQ%3D%3D&pdp_filters=item_id%3AMLB4725083009#polycard_client=search-desktop&is_advertising=true&searchVariation=MLBU4039172556&backend_model=search-backend&be_origin=backend&search_layout=grid&position=13&type=pad&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4725083009&sid=search,0,,0,,,ssd nvme,1,13,True,MLB4725083009
Mercado Livre Browser,Ssd Sandisk Plus 2tb M.2 2280 Pcie Gen3 Nvme + Vendido,2300.0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=fsg60WfTV4JckOAuE0XmLqLzKdbmt4m8%2B7vS3Ax2Lhs7WNO6q45yxgu9XxB3IUkNfnDv3pq3A2LQO%2BhOpWenGRp39kvAH8VPKLUHbAzAF0OkiQfg83Kho%2BSvbktV5orH6aF34yvdYCAaWRFmc1dxBkgf3Zhxlak%2FQPcNCLjnHokmMaTjGvH55pPnvPK7ZKtSYIK5xGPD1h8SSy6cAr16Uk3rvtbmR3tYeklVWOTy%2BE2HAeNQwXh4tScxKatlXRJ2KcmhmzAxSvzRIG%2BOR%2B7McCUZBDDTFxJEBZFl6ObhGASlxKXC63gijpQVyguSaEMvp3qrjWMvK6QVUJvmjgAHbf1GPngYHqjGItg4xW3Ex1Wg%2BlrDND20w3knx5XMufxJhDEMOmmUv9QwChBTpNxzpEfDWKgrjjFyo2SO8A8fpnLh5nwhNgFINXGJooLIrPgKpN%2BlWL0DBK4Gs8Hv31%2FgR9ToXJRnau%2FpYqn1Tl0GwoiotSXc1Hv0owNhQgoRfWK5qgaqZVDnsqNmaA%2FNIN0VEEqln3VKfKPsU5abGyF5gWlGnia09BK6MH43hC1GNQam8JIvkT0naYhWqbsobCtp5qRIC6PIqQG8DsGLfDjszpkz3kxJmzgUhEO3IcHPGU%2Fo%2B7WYJfW6WLEklGSVShC3ntRRwqmVoYTEtCjx2xBQWP4JMB5BNFANq%2FdR%2BdQb6zbMa29HT1jV8mOjr1YihKVeYPr2E9o1t5qnxFh6GGKaHC3y7A37kU2mKcMekz%2BUIDTLEuBpvBDEWKnyuZBUUs3AAG%2FJNn7ba7lwxAnKOftWxKMML3jSi3KFDUO74QL22bamShNYCRQOtGOFkos2Zn3ZPrEsHo4e%2F4ICnJiLQb0VIaz2acjprajUHzgjSpbV%2FxVdSJ9YBeXZPmPsTuApHcsseGwwYpqFSYU9fy9%2F89fdshcTsj3BM9Nti72oer7lpvFnXc69akEnZ9wRDsXJnBGHh3j4op4nxjLXb0u52PiQOMWlZDo3KibukvDrcATcp0inUASs6lvVDkZGrmwFNFmKP3JLOVAol%2FeFAwgs9EFXRFyIdYi%2FH79oquMILVsf6ZFDKVfSEF3eSwc%3D&searchVariation=203609816821&pdp_filters=item_id%3AMLB4752590809#polycard_client=search-desktop&is_advertising=true&searchVariation=203609816821&backend_model=search-backend%3Bfallback_productos-promocionados_reco_of_reco_supple_view_view_reco_of_reco&be_origin=backend&search_layout=grid&position=14&type=pad&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&sid=search,0,,0,,,ssd nvme,1,14,True,
Mercado Livre Browser,Ssd Micron 2450 256gb M.2 Nvme Gen4x4,389.0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=yln%2B6O5kkxMPhUc4nGUBNUqqSgNwRtz%2BCdi5rd4LWbXgg3a1MA%2B66Py%2BvbMrJwNpM520XnGX3%2FK7qrhzVE97BmnzklDT45ck1lrQ5p7gpKyTWlXzTUeO24Js%2FW2JEHmQfV38H9WWYnUpAyNuhqcy6cc9SSHgnutnm1RBuuGSWzcjib10nKswLnfLm5NnFh%2BlRi2b3dZyRnSGILSAKsjb2Q7%2FkAPtPbYnwYqzPvZgKgWC9rtCp4NC%2FSu8FWdaGAAU%2BcNr2ZnGXW8sfANy3ZCtnvO7TazKsp03y8chDInwAvw%2FM9%2BtjBR1ktpBgj9H4mneTLow9HWa3wwhEMLFInrbyo8zh3HV%2F5WsvviN%2Bv7WE3wbZuz%2F8m2HqPrwyMRd3JaAnFs6iuRuWPyCsYYoxTmuE%2F9hsR95NzMmmiXtznbSf0TnUC1%2Fca61filLU2XK1tsYvbR%2FShZ%2Fhq6U%2BBw%2BQLB02GHpDytlDkKD2786LLOauRAWLirabicIBBlF72bc4JvSl2R%2FeSKw0L2BVBJptRkr6bxtvBTn24lSWVQu7nkjr6ESA4MwtzlgBbmhK7vuugs%2B8GMEtu72Qf4BlZ%2Flmy1WVbippozN%2B6UY2eWZMMIzxPGGzVoAdRtAcF2QErGoDgOJGmSVahGnFDaWEGdH787a5Dhf6vekntQDQDkejPrT6FlT9z1aDyakDjmt3TgL3FhMsV5hy%2BSO41q4IrEBKlfnR4M8DA5ZEU0AiPAZFqHbODv5nQlftMoQzU%2B2oteFY2qGqUkOEvjbTWZ4EtvSVBwuLF7ex9VMQlrcWgqbr6BQoH8sf91H90vCfFrTURi3jQTu3GkIGdWH5lNBhHkcUJUQmap5aOznsJev4Dh6weEF2udEBbH%2Bl1llUWVMw%2FATvU50SuQBNqTbxzgaIMyoRcWU%2F13zPpZDcsWDP1%2BEYYU7oUDD4y8QpumfEt6wjzAh%2F%2BH6W5ByRZs402lFAhI147osuA%3D%3D&pdp_filters=item_id%3AMLB4585438545#polycard_client=search-desktop&is_advertising=true&searchVariation=MLBU3877594015&backend_model=search-backend&be_origin=backend&search_layout=grid&position=15&type=pad&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4585438545&sid=search,0,,0,,,ssd nvme,1,15,True,MLB4585438545
Mercado Livre Browser,Ssd M2 2230 Nvme Kingspec Nx Series 256gb Gen3 X4 Steam Deck Cor Preto,380.0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wRjxefHb7DOXsEcEsYqLxK2lVLftSofA1kdtLp2NBYy6WDaku16hAk5Mvl2WgV1CsL6xX5UY5xJLMkQbdbAmZLfC9twUtQUkXJp9TJgktYb8m2EiEx9t0HqHBJUF3H1xVqansM6hPK8WviQUQfcn6Tc7zv9PKiVSliNy9tPmJDz4AHKJ6fJE1SslFDBp%2FsA6%2F6lWDHPAZWPNKliX%2BTejcMwTDFhjBNtCLS%2FSea8E%2BphV%2Fp0PTvk4qP1mCy3XgOpmhVBCD0knKERjwnOsX8CpjuK3eyz5ATV3US85bhTa%2F4fNK8EBSofi8hhkQIGZPIakTLSVUzSGru8ZRwSddMvnDzFAHj%2FSefzVJOZHnK0psdWOWjnKRP6H5QUtxJfqQi2flw2ZFkoMlWsswvNPEeYv743UnaufB5G7%2BaW63cPZ5Y5kaukEv03b%2BvGHRVmPiRMWTA0eAoFJq14hbgys2LyJNqaUxjtAZ7i6MbP2fgkIIbTO6XUcy8VEinGQ5vuz5BGAXo%2B57yHRoNPR4KXS12Y9RXjex2m3NWiwDZMbUueyglhdt9smS1HYlHzK4IVhScmJsEaTVNhV0uIp0rzZrNuHjicReTQGjgsB%2BkHCcqbTCV4rJtaEEeJFNkF7LS5lT4XsQgQW1isUzyhJIIyn%2FQOTSLTBsBVgHdAJ62c6TE0Wjan7cqSOhEnWKvO5kmrVoB48x4h%2BW6hjEMZisbGy9eH1qBnlo6CFMHDwg5Q2OSiNKXIsRhatM2cUhA9qC1iQF9Z2b9cn7XSwLTJffTI1KZur7%2F1OnWjMmwf9MEDFqUrSPQ%2F%2B%2FNB5NnR2U9gAy5YL8J4AbjaF7pZ%2F1xF5rjrjNuAPnFgCwEBLuvDnhxGZlqXY9QvryzB0Sklv3%2FavX6LVL7WZvreW%2BXlIUNmZoKe9hYu3Yn9FkfnJH1cnB7f0YuJj0hCNxmZGZzuPgzP4nrdeJ2SrBtk9r55xuZk18rdqPuYsC4O14%2BUsSazN%2BGr5rgqjXuuPMCIhyp1676Sso1HGZkEXUmhN9YCI&pdp_filters=item_id%3AMLB3945120451#polycard_client=search-desktop&is_advertising=true&backend_model=search-backend%3Bfallback_productos-promocionados_reco_of_reco_supple_view_view_reco_of_reco&be_origin=backend&search_layout=grid&position=16&type=pad&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB3945120451&sid=search,50,,0,,,ssd nvme,1,16,True,MLB3945120451
Mercado Livre Browser,Ssd Sandisk Optimus 5100 2tb M.2 2280 Nvme Pcie 4.0 Interno,2350.0,https://www.mercadolivre.com.br/ssd-sandisk-optimus-5100-2tb-m2-2280-nvme-pcie-40-interno/up/MLBU4180656990#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB7050527902&sid=search,0,,0,,,ssd nvme,1,17,False,MLB7050527902
Mercado Livre Browser,Ssd M.2 1tb Sandisk Plus Nvme 2280,899.0,https://www.mercadolivre.com.br/ssd-m2-1tb-sandisk-plus-nvme-2280/p/MLB32362095#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB5762099134&sid=search,10000,,0,,,ssd nvme,1,18,False,MLB5762099134
Mercado Livre Browser,Ssd Redragon Ember 1tb M.2 2280,899.0,https://www.mercadolivre.com.br/ssd-redragon-ember-1tb-m2-2280/p/MLB24429233#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4574498869&sid=search,100,,0,,,ssd nvme,1,19,False,MLB4574498869
Mercado Livre Browser,Disco Sólido Interno Western Digital Wd Green Sn350 Wds100t3g0c 1tb Verde,839.0,https://www.mercadolivre.com.br/disco-solido-interno-western-digital-wd-green-sn350-wds100t3g0c-1tb-verde/p/MLB24819136#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB5264957246&sid=search,10000,,0,,,ssd nvme,1,20,False,MLB5264957246
