product_key,search_query,brand,model,capacity,storage_type,form_factor,interface,shopee_query,ads_count,best_price_brl,avg_price_brl,max_price_brl,total_sold,max_rating,total_reviews,best_title,best_url,best_mlb_id,source_pages,grouped_titles
adata|legend 710|2tb|nvme,ssd nvme,Adata,Legend 710,2TB,NVMe,M.2,,Adata Legend 710 2TB NVMe M.2,1,1749.0,1749.0,1749.0,25,,0,Ssd M.2 2tb Pci-e 3.0 X4 Legend 710 Nvme Adata Aleg-710-2tcs Cor Azul-marinho,https://www.mercadolivre.com.br/ssd-m2-2tb-pci-e-30-x4-legend-710-nvme-adata-aleg-710-2tcs-cor-azul-marinho/p/MLB24860081#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=product&tracking_id=d56a1c56-080b-4031-b7b5-0e9e83f9199d&wid=MLB6168131066&sid=search,MLB6168131066,9,Ssd M.2 2tb Pci-e 3.0 X4 Legend 710 Nvme Adata Aleg-710-2tcs Cor Azul-marinho
samsung|plus|1tb|nvme,ssd nvme,Samsung,Plus,1TB,NVMe,M.2,PCIe 5.0,Samsung Plus 1TB NVMe M.2 PCIe 5.0,1,1749.0,1749.0,1749.0,25,,0,Unidade Sólida Ssd Samsung 1tb 990evo Plus Nvme Pcie 5.0 M.2,https://www.mercadolivre.com.br/unidade-solida-ssd-samsung-1tb-990evo-plus-nvme-pcie-50-m2/up/MLBU3017148617#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=e70ccd18-2b1e-41a6-8cf8-ea0040015140&wid=MLB5290397710&sid=search,MLB5290397710,8,Unidade Sólida Ssd Samsung 1tb 990evo Plus Nvme Pcie 5.0 M.2
memoria|de|ddr5|ram|de|16gb,memoria ram ddr5,,,16GB,,,,memoria de ddr5 ram,1,1750.0,1750.0,1750.0,0,,0,Memória De Desktop Ddr5 Ram De 16 Gb E 5600 Mhz,https://www.mercadolivre.com.br/ram-de-desktop-ddr5-de-alto-desempenho-de-16-gb-e-5600-mhz/p/MLB2086985719#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=30&type=product&tracking_id=70662bf6-14e9-4cf5-bdcf-bb1c5b632811&wid=MLB7013488314&sid=search,MLB7013488314,8,Memória De Desktop Ddr5 Ram De 16 Gb E 5600 Mhz
memoria|ram|adata|xpg|lancer|16gb,memoria ram ddr5,Adata,,16GB,,,,Adata 16GB,1,1751.0,1751.0,1751.0,50,,0,Memória Ram Adata Xpg Lancer Blade Ddr5 16gb 5600mhz Branco,https://www.mercadolivre.com.br/memoria-ram-adata-xpg-lancer-blade-ddr5-16gb-5600mhz-branco/p/MLB39195535#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=53&type=product&tracking_id=f50bf2fb-feca-41a9-892d-623a7542606a&wid=MLB4467622321&sid=search,MLB4467622321,3,Memória Ram Adata Xpg Lancer Blade Ddr5 16gb 5600mhz Branco
memoria|ram|so|dimm|corsair|16gb,memoria ram ddr5,Corsair,,16GB,,,,Corsair 16GB,1,1765.0,1765.0,1765.0,100,,0,Memória RAM SO-DIMM Corsair Vengeance 16GB DDR5 para Notebook 5200MHz,https://www.mercadolivre.com.br/memoria-ram-so-dimm-corsair-vengeance-16gb-ddr5-para-notebook-5200mhz/p/MLB35774718#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=32&type=product&tracking_id=48b89447-4a5c-4062-8d59-b966655ad596&wid=MLB3670486699&sid=search,MLB3670486699,4,Memória RAM SO-DIMM Corsair Vengeance 16GB DDR5 para Notebook 5200MHz
fx991|2|gen|4x4|leitura|2tb,ssd nvme,,,2TB,NVMe,M.2,PCIe,fx991 2 gen 4x4 NVMe M.2,1,1785.0,1785.0,1785.0,0,,0,"Fx991 M.2 Ssd 2tb Nvme Ssd M2 2280 Pcie Gen 4x4, Leitura ...",https://www.mercadolivre.com.br/fikwot-fx991-ssd-2tb-nvme-pcie-gen-4x4-velocidad-7300mbs/p/MLB2027776232#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=49&type=product&tracking_id=e70ccd18-2b1e-41a6-8cf8-ea0040015140&wid=MLB3942859399&sid=search,MLB3942859399,8,"Fx991 M.2 Ssd 2tb Nvme Ssd M2 2280 Pcie Gen 4x4, Leitura ..."
fanxiang|gen4|2|para|ps5|2tb,ssd nvme,,,2TB,NVMe,M.2,PCIe 4.0,fanxiang gen4 2 para NVMe M.2 PCIe 4.0,1,1789.0,1789.0,1789.0,0,,0,"Fanxiang 2tb Nvme Ssd Pcie Gen4 M.2 Ssd Para Ps5, Até 52...",https://www.mercadolivre.com.br/fanxiang-2tb-nvme-ssd-pcie-gen4-m2-ssd-for-ps5-up-to-52/p/MLB2069575915#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=50&type=product&tracking_id=e70ccd18-2b1e-41a6-8cf8-ea0040015140&wid=MLB5270647710&sid=search,MLB5270647710,8,"Fanxiang 2tb Nvme Ssd Pcie Gen4 M.2 Ssd Para Ps5, Até 52..."
lexar|1tb|nvme,ssd nvme,Lexar,,1TB,NVMe,M.2,PCIe 4.0,Lexar 1TB NVMe M.2 PCIe 4.0,1,1790.0,1790.0,1790.0,500,,0,SSD M.2 1TB LEXAR NQ790 2280 NVME PCIE GEN4.0 LNQ790X0001T-RNNNG 7000MB/s,https://www.mercadolivre.com.br/ssd-m2-1tb-lexar-nq790-2280-nvme-pcie-gen40-lnq790x0001t-rnnng-7000mbs/p/MLB36323752#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=3ddcd777-34ac-4f74-8626-8356dfaaeff6&wid=MLB4741263735&sid=search,MLB4741263735,7,SSD M.2 1TB LEXAR NQ790 2280 NVME PCIE GEN4.0 LNQ790X0001T-RNNNG 7000MB/s
memoria|ram|kingston|fury|renegade|16gb,memoria ram ddr5,Kingston,,16GB,,,,Kingston 16GB,1,1790.0,1790.0,1790.0,0,,0,Memória Ram Pc 16gb Kingston Fury Renegade Rgb Ddr5 6400mhz,https://www.mercadolivre.com.br/memoria-ram-pc-16gb-kingston-fury-renegade-rgb-ddr5-6400mhz/p/MLB54426184#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=43&type=product&float_highlight=last_units&tracking_id=48b89447-4a5c-4062-8d59-b966655ad596&wid=MLB4315998805&sid=search,MLB4315998805,4,Memória Ram Pc 16gb Kingston Fury Renegade Rgb Ddr5 6400mhz
memoria|adata|ddr5|5600mhz|ad5s560016g|16gb,memoria ram ddr5,Adata,,16GB,,,,Adata 16GB,1,1798.0,1798.0,1798.0,0,,0,Memória Notebook Adata 16gb Ddr5 5600mhz Ad5s560016g-s,https://www.mercadolivre.com.br/memoria-notebook-adata-16gb-ddr5-5600mhz-ad5s560016gs/up/MLBU2989954948#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=54&type=product&tracking_id=70662bf6-14e9-4cf5-bdcf-bb1c5b632811&wid=MLB3963054223&sid=search,MLB3963054223,8,Memória Notebook Adata 16gb Ddr5 5600mhz Ad5s560016g-s
memoria|kingston|ddr5|kf556c40bbak2|16|16gb,memoria ram ddr5,Kingston,,16GB,,,,Kingston 16GB,1,1799.0,1799.0,1799.0,0,,0,Memoria Kingston Ddr5 16gb Kf556c40bbak2-16 5600mhz,https://www.mercadolivre.com.br/memoria-kingston-ddr5-16gb--kf556c40bbak216-5600mhz/up/MLBU3799483763#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=product&tracking_id=70662bf6-14e9-4cf5-bdcf-bb1c5b632811&wid=MLB6289054620&sid=search,MLB6289054620,8,Memoria Kingston Ddr5 16gb Kf556c40bbak2-16 5600mhz
western digital|wd green sn350|2tb,ssd nvme,Western Digital,WD Green SN350,2TB,,,,Western Digital WD Green SN350 2TB,1,1799.0,1799.0,1799.0,0,,0,Disco Sólido Interno Western Digital Wd Green Sn350 Wds200t3g0c 2tb Verde,https://www.mercadolivre.com.br/disco-solido-interno-western-digital-wd-green-sn350-wds200t3g0c-2tb-verde/up/MLBU1738468711#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=52&type=product&tracking_id=3414e7e4-1f1e-4709-868d-506dd311ec0e&wid=MLB3764743249&sid=search,MLB3764743249,10,Disco Sólido Interno Western Digital Wd Green Sn350 Wds200t3g0c 2tb Verde
